PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF
10000000,1E-10,3,50,50,astral-multi,0.051546
10000000,1E-10,3,50,50,astral-multi-w-true,0.041237
10000000,1E-10,3,50,50,apro,0.041237
10000000,1E-10,3,50,50,apro-w-true,0.041237
10000000,1E-10,3,50,50,apro-v2,0.041237
10000000,1E-10,3,50,50,duptree,0.371134
10000000,1E-10,3,50,50,mulrf,0.082474
10000000,1E-10,3,50,50,stag,0.474227
10000000,1E-10,3,50,100,astral-multi,0.030928
10000000,1E-10,3,50,100,astral-multi-w-true,0.020619
10000000,1E-10,3,50,100,apro,0.030928
10000000,1E-10,3,50,100,apro-w-true,0.030928
10000000,1E-10,3,50,100,apro-v2,0.030928
10000000,1E-10,3,50,100,duptree,0.072165
10000000,1E-10,3,50,100,mulrf,0.051546
10000000,1E-10,3,50,100,stag,0.407216
10000000,1E-10,3,50,500,astral-multi,0
10000000,1E-10,3,50,500,astral-multi-w-true,0
10000000,1E-10,3,50,500,apro,0.010309
10000000,1E-10,3,50,500,apro-w-true,0.010309
10000000,1E-10,3,50,500,apro-v2,0.010309
10000000,1E-10,3,50,500,duptree,0.041237
10000000,1E-10,3,50,500,mulrf,0.020619
10000000,1E-10,3,50,500,stag,0.185567
10000000,1E-10,3,100,25,astral-multi,0.051546
10000000,1E-10,3,100,25,astral-multi-w-true,0.051546
10000000,1E-10,3,100,25,apro,0.072165
10000000,1E-10,3,100,25,apro-w-true,0.072165
10000000,1E-10,3,100,25,apro-v2,0.072165
10000000,1E-10,3,100,25,duptree,0.298969
10000000,1E-10,3,100,25,mulrf,0.051546
10000000,1E-10,3,100,25,stag,NA
10000000,1E-10,3,100,50,astral-multi,0.061856
10000000,1E-10,3,100,50,astral-multi-w-true,0.061856
10000000,1E-10,3,100,50,apro,0.051546
10000000,1E-10,3,100,50,apro-w-true,0.051546
10000000,1E-10,3,100,50,apro-v2,0.051546
10000000,1E-10,3,100,50,duptree,0.113402
10000000,1E-10,3,100,50,mulrf,0.041237
10000000,1E-10,3,100,50,stag,0.298969
10000000,1E-10,3,100,100,astral-multi,0.051546
10000000,1E-10,3,100,100,astral-multi-w-true,0.051546
10000000,1E-10,3,100,100,apro,0.041237
10000000,1E-10,3,100,100,apro-w-true,0.041237
10000000,1E-10,3,100,100,apro-v2,0.041237
10000000,1E-10,3,100,100,duptree,0.030928
10000000,1E-10,3,100,100,mulrf,0.030928
10000000,1E-10,3,100,100,stag,0.278351
10000000,1E-10,3,100,500,astral-multi,0.010309
10000000,1E-10,3,100,500,astral-multi-w-true,0.010309
10000000,1E-10,3,100,500,apro,0.010309
10000000,1E-10,3,100,500,apro-w-true,0.010309
10000000,1E-10,3,100,500,apro-v2,0.010309
10000000,1E-10,3,100,500,duptree,0
10000000,1E-10,3,100,500,mulrf,0.010309
